Customer_ID,Transaction_ID,Purchase_Date,Purchase_Amount,Payment_Method,Product_Category,Total_Purchases,Average_Order_Value,Repeat_Purchase_Rate,Time_Between_Purchases,Session_Duration,Pages_Visited,Bounce_Rate,Browsing_Frequency,Click_Through_Rate,Ad_Clicks,Product_Link_Clicks,Navigation_Path_Count,Search_Keywords_Count,Search_Frequency,Product_Relevance_Score,Search_to_Purchase_Ratio,Age,Gender,Income_Level,Occupation,Education_Level,Location,Email_Open_Rate,Response_Rate,Chatbot_Interactions,Feedback_Score,Support_Request_Frequency,Customer_Value_Score,Engagement_Score,Loyalty_Score,Churn_Risk_Score,Customer_Segment
CUST_00001,TXN_000001,2024-01-01 00:00:00,18789.55,Cash on Delivery,Sports,18,13732.88,0.673,49,68.78,69,0.785,89,0.28,49,87,31,37,31,0.888,0.219,31,Other,Low,Freelancer,High School,Urban,0.825,0.017,41,2.17,14,37.62,48.09,43.02,75.91,Inactive_Customer
CUST_00002,TXN_000002,2024-01-01 01:00:00,47540.64,Wallet,Beauty,63,12482.15,0.295,98,68.05,67,0.933,37,0.097,44,38,23,10,38,0.834,0.424,57,Male,Low,Retired,Master,Urban,0.723,0.744,17,3.58,6,65.67,60.87,48.08,49.89,Medium_Value_Customer
CUST_00003,TXN_000003,2024-01-01 02:00:00,36626.5,Credit Card,Toys,91,10928.26,0.523,101,67.76,34,0.171,29,0.162,26,11,37,47,57,0.751,0.799,67,Other,Low,Retired,High School,Metro,0.805,0.423,34,3.84,16,70.37,44.07,66.66,41.02,Low_Value_Customer
CUST_00004,TXN_000004,2024-01-01 03:00:00,29973.06,Credit Card,Electronics,49,1986.07,0.137,63,22.91,43,0.756,52,0.236,15,42,8,46,44,0.199,0.55,61,Female,Low,Retired,Bachelor,Semi-Urban,0.729,0.766,34,1.42,7,40.23,44.85,26.87,45.81,Low_Value_Customer
CUST_00005,TXN_000005,2024-01-01 04:00:00,7885.33,Net Banking,Electronics,66,10024.72,0.233,168,55.99,21,0.929,61,0.628,24,35,29,24,29,0.316,0.782,44,Female,Upper Middle,Student,High School,Semi-Urban,0.619,0.606,14,3.51,3,37.21,52.97,46.12,47.5,Low_Value_Customer
CUST_00006,TXN_000006,2024-01-01 05:00:00,7884.13,Net Banking,Books,40,10439.5,0.304,56,70.32,12,0.691,77,0.816,34,66,33,33,68,0.399,0.272,45,Male,Middle,Employee,Bachelor,Urban,0.14,0.581,3,3.43,19,31.89,58.21,40.98,59.48,Low_Value_Customer
CUST_00007,TXN_000007,2024-01-01 06:00:00,2998.37,Net Banking,Toys,85,11473.66,0.081,98,51.01,32,0.241,53,0.401,12,2,25,17,27,0.694,0.101,23,Male,Middle,Employee,High School,Semi-Urban,0.203,0.533,31,1.4,29,29.17,47.52,35.03,51.17,Low_Value_Customer
CUST_00008,TXN_000008,2024-01-01 07:00:00,43322.19,Credit Card,Electronics,87,4020.68,0.868,108,70.33,47,0.853,80,0.322,29,15,2,19,32,0.371,0.301,23,Other,Middle,Homemaker,Bachelor,Semi-Urban,0.845,0.484,18,2.99,23,78.41,54.37,75.04,68.5,High_Value_Customer
CUST_00009,TXN_000009,2024-01-01 08:00:00,30095.64,Wallet,Toys,119,9640.43,0.129,77,77.04,55,0.756,77,0.732,3,41,5,14,34,0.121,0.081,41,Other,Low,Homemaker,Bachelor,Semi-Urban,0.916,0.394,8,4.01,29,65.43,66.74,59.92,74.53,Medium_Value_Customer
CUST_00010,TXN_000010,2024-01-01 09:00:00,35432.82,Net Banking,Toys,66,9312.35,0.686,176,16.48,65,0.432,20,0.582,33,86,14,13,18,0.797,0.345,24,Female,Middle,Student,Diploma,Metro,0.43,0.232,6,4.67,9,69.03,45.24,70.04,45.88,Low_Value_Customer
CUST_00011,TXN_000011,2024-01-01 10:00:00,1127.17,Credit Card,Sports,80,5841.12,0.5,37,28.26,68,0.548,67,0.216,54,0,35,9,62,0.907,0.628,20,Male,Lower Middle,Homemaker,Doctorate,Rural,0.113,0.784,8,2.09,24,37.06,54.1,53.78,53.6,Low_Value_Customer
CUST_00012,TXN_000012,2024-01-01 11:00:00,48498.5,Net Banking,Fashion,4,9986.25,0.817,140,54.52,17,0.689,43,0.462,54,29,14,39,59,0.726,0.325,18,Male,Upper Middle,Freelancer,Master,Urban,0.208,0.228,40,2.08,13,57.53,37.71,44.25,60.33,Low_Value_Customer
CUST_00013,TXN_000013,2024-01-01 12:00:00,41638.89,Net Banking,Sports,34,1391.76,0.729,93,26.78,26,0.127,58,0.752,32,95,39,1,31,0.401,0.191,26,Other,Upper Middle,Freelancer,High School,Metro,0.771,0.873,30,2.06,9,58.41,56.19,49.38,20.59,Low_Value_Customer
CUST_00014,TXN_000014,2024-01-01 13:00:00,10695.72,Cash on Delivery,Sports,119,9688.22,0.747,98,84.78,33,0.881,14,0.564,50,97,19,45,23,0.681,0.078,65,Other,High,Freelancer,Master,Semi-Urban,0.885,0.508,35,2.83,1,60.67,60.66,78.74,50.98,Medium_Value_Customer
CUST_00015,TXN_000015,2024-01-01 14:00:00,9173.07,Net Banking,Beauty,5,9129.63,0.416,32,18.28,64,0.938,12,0.323,40,98,16,22,12,0.746,0.392,21,Female,Upper Middle,Freelancer,High School,Semi-Urban,0.862,0.63,43,4.44,2,29.31,48.9,40.3,53.82,Low_Value_Customer
CUST_00016,TXN_000016,2024-01-01 15:00:00,9251.89,Credit Card,Grocery,113,3238.3,0.819,108,32.77,10,0.321,33,0.37,43,29,18,3,18,0.243,0.967,47,Male,Upper Middle,Retired,High School,Semi-Urban,0.552,0.537,47,1.15,6,54.56,34.9,71.47,34.12,Low_Value_Customer
CUST_00017,TXN_000017,2024-01-01 16:00:00,15281.69,Wallet,Grocery,98,12291.38,0.102,151,89.49,46,0.682,81,0.765,16,27,2,14,1,0.857,0.659,61,Male,Upper Middle,Employee,Doctorate,Urban,0.184,0.247,4,3.92,18,49.0,64.53,52.26,63.07,Low_Value_Customer
CUST_00018,TXN_000018,2024-01-01 17:00:00,26285.35,Credit Card,Books,22,13128.77,0.441,74,17.84,73,0.406,82,0.605,54,95,3,48,16,0.767,0.802,31,Female,Low,Business Owner,Master,Semi-Urban,0.221,0.492,6,2.43,5,40.01,55.19,36.21,39.51,Low_Value_Customer
