Customer_ID,Purchase_Amount,Total_Purchases,Average_Order_Value,Engagement_Score,Loyalty_Score,Churn_Risk_Score,Customer_Value_Score
1,563.16,69,171.83,61.58,26.25,18.69,40.98
2,7554.57,8,20.18,53.6,38.06,35.95,48.31
3,7564.14,73,55.17,59.97,40.14,17.77,52.65
4,8125.92,20,15.79,15.03,26.25,24.36,40.46
5,114.32,83,240.03,30.33,74.44,70.99,41.5
6,3372.17,52,52.14,78.7,79.86,53.25,40.01
7,1322.64,58,49.28,45.77,20.0,43.75,24.29
8,1716.65,86,11.62,38.81,45.56,27.51,33.36
9,1358.62,88,383.94,43.86,32.5,12.67,53.16
10,6757.7,74,134.85,57.89,20.83,45.22,50.54
11,8484.33,71,414.24,68.25,15.28,53.63,69.28
12,999.17,29,445.87,59.16,38.06,26.17,39.64
13,923.13,65,141.05,49.06,65.69,35.73,40.92
14,4678.45,11,235.89,46.64,51.67,70.54,30.67
15,2768.37,3,474.91,56.84,51.94,31.97,30.16
16,3992.83,79,375.92,48.91,60.0,74.39,51.73
17,6936.3,38,344.59,25.03,93.75,56.58,48.34
18,5689.28,13,49.8,63.8,29.17,30.39,27.71
19,3654.8,66,280.97,69.86,73.75,65.79,51.04
20,7551.92,75,138.55,49.41,45.69,34.32,52.56
21,9174.37,23,107.81,75.82,100.0,51.86,61.39
22,533.97,83,75.13,67.19,48.47,29.13,28.12
23,8820.87,61,336.76,69.36,15.28,49.75,70.69
24,5456.91,66,248.58,37.5,74.72,31.38,60.62
25,1568.09,81,172.2,60.63,73.75,70.94,33.79
26,1639.63,50,374.84,55.22,46.11,70.82,41.9
27,292.69,91,70.51,47.54,70.97,58.2,28.91
28,2909.77,81,17.7,33.82,40.0,29.33,44.25
29,1459.27,8,473.87,54.67,51.94,29.87,40.27
30,2767.61,93,278.66,48.11,60.14,14.68,54.42
31,3464.48,23,118.2,22.1,73.61,64.2,40.62
32,5059.33,68,182.56,56.13,40.83,35.95,53.81
33,6662.93,75,136.95,37.0,73.75,52.94,65.01
34,9816.39,11,415.71,55.98,55.0,82.11,65.63
35,4831.51,55,245.76,49.77,35.28,32.55,44.56
36,7063.64,23,11.47,91.73,68.75,73.82,38.57
37,3387.4,28,415.77,67.95,43.33,64.84,42.73
38,4817.8,75,197.03,48.91,35.0,74.15,55.27
39,5974.24,71,310.0,66.48,53.61,65.16,66.07
40,9021.37,60,123.55,39.27,69.17,47.86,62.93
41,9144.04,36,21.8,71.13,18.06,44.5,54.83
42,5728.99,76,78.18,46.99,73.61,63.99,52.83
43,3526.23,76,350.34,52.84,48.33,38.29,65.51
44,6448.9,40,185.72,65.93,97.22,50.94,46.71
45,1723.41,70,24.32,54.67,15.28,49.99,41.52
46,6292.38,5,150.71,25.78,60.83,19.91,40.34
47,8230.32,9,180.9,40.83,46.39,47.04,56.91
48,8729.63,59,459.58,58.86,57.08,65.99,71.69
49,1558.77,66,272.65,49.77,51.25,44.86,35.07
50,429.84,30,270.64,77.23,52.5,36.12,37.7
51,8147.34,29,454.29,61.03,45.56,46.5,66.76
52,7953.11,30,276.41,28.06,90.97,62.63,64.38
53,566.77,94,256.48,59.87,46.39,29.56,49.13
54,1530.61,6,204.1,44.07,73.75,58.81,30.91
55,5650.68,35,431.97,75.67,42.92,35.52,64.57
56,3988.94,62,411.23,66.88,45.28,63.58,52.92
57,7023.52,10,249.95,75.42,54.72,46.87,49.81
58,8234.11,75,158.09,54.57,18.06,44.43,56.77
59,7492.81,74,300.6,48.0,42.92,26.11,67.28
60,8182.9,6,62.36,62.39,36.67,51.82,44.07
61,7578.38,43,42.39,70.67,57.08,60.33,42.77
62,5935.52,31,418.52,66.69,48.89,68.52,53.24
63,8290.39,21,98.36,45.08,38.06,46.39,49.04
64,3950.34,53,424.97,70.47,68.06,68.39,61.6
65,2347.82,92,477.54,46.59,35.28,18.51,64.14
66,8007.38,68,438.15,43.71,67.5,81.81,71.98
67,2245.16,17,162.58,54.67,74.44,58.21,26.31
68,1968.28,13,354.49,30.08,20.0,22.5,36.62
69,2715.76,38,491.31,64.46,46.39,35.61,44.65
70,885.22,2,414.53,72.75,68.19,66.44,35.58
71,8398.68,33,170.94,50.93,80.0,68.89,49.78
72,8076.04,42,54.92,58.65,52.5,28.36,47.12
73,3604.71,40,386.44,29.93,46.11,69.51,50.6
74,1072.21,33,234.2,64.16,80.56,64.08,30.11
75,3574.21,43,449.3,30.28,83.33,62.75,59.7
